filepath,label
Audio\fake\file1.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file100.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10003.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10012.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10017.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10024.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10032.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10035.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10038.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10039.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10048.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file1005.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10054.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10061.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10069.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10075.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10078.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10085.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10098.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10099.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file101.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10109.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
Audio\fake\file10119.mp3.wav_16k.wav_norm.wav_mono.wav_silence.wav,fake
